d z_d D(z)
1 1 1.21019e-05
2 9376 2.97233e-05
3 11835 6.48263e-05
4 11101 0.000125891
5 7045 0.000228703
6 6571 0.00035292
7 4358 0.00052367
8 12450 0.000736104
9 8986 0.000982711
10 2097 0.00123776
11 6106 0.00152206
12 4319 0.00181904
13 6379 0.00213228
14 3982 0.00244215
15 10328 0.00277495
16 4542 0.00309715
17 1842 0.00342888
18 4432 0.0037476
19 1908 0.00405378
20 3307 0.00434466
21 10233 0.00462511
22 5473 0.00489174
23 6256 0.00514429
24 14500 0.0053837
25 1591 0.00561095
26 11492 0.00582192
27 5776 0.00601687
28 10308 0.00619742
29 13879 0.00636422
30 10066 0.00651809
31 8172 0.00665901
32 9496 0.00678796
33 5805 0.00690612
34 352 0.00701538
35 7694 0.00711475
36 2321 0.00720533
37 2719 0.0072877
38 11262 0.00736282
39 9939 0.00743091
40 3081 0.00749287
41 1072 0.00754899
42 11665 0.00759982
43 3715 0.00764589
44 9233 0.00768759
45 14376 0.00772528
46 5329 0.00775945
47 15310 0.00779051
48 15381 0.00781862
49 11785 0.00784406
50 15112 0.00786704
51 2962 0.00788783
52 14002 0.00790663
53 1148 0.00792363
54 2052 0.00793895
55 2379 0.00795278
56 3856 0.00796527
57 5070 0.00797654
58 1488 0.0079867
59 15066 0.00799587
60 5339 0.00800414
61 153 0.00801159
62 14670 0.0080183
63 3805 0.00802436
64 13646 0.00802981
65 7442 0.00803472
66 3041 0.00803914
67 10157 0.00804313
68 6800 0.00804672
69 15214 0.00804995
70 2586 0.00805287
71 6882 0.0080555
72 6173 0.00805786
73 5706 0.00806
74 13508 0.00806192
75 4854 0.00806365
76 5930 0.00806521
77 7499 0.00806661
78 2675 0.00806788
79 9129 0.00806901
80 13655 0.00807004
81 1212 0.00807096
82 3608 0.00807179
83 5944 0.00807254
84 13894 0.00807321
85 7866 0.00807382
86 710 0.00807436
87 4273 0.00807486
88 10399 0.0080753
89 656 0.0080757
90 402 0.00807606
91 1353 0.00807638
92 6930 0.00807667
93 8083 0.00807693
94 8918 0.00807717
95 1005 0.00807738
96 7450 0.00807757
97 14341 0.00807774
98 1217 0.0080779
99 4294 0.00807804
100 946 0.00807817
