d z_d D(z)
1 1 0.000193359
2 765 0.000430283
3 343 0.000861323
4 849 0.00146772
5 702 0.00240722
6 880 0.00354171
7 416 0.0048706
8 449 0.00645518
9 581 0.00822397
10 989 0.010138
11 735 0.0120548
12 378 0.0140904
13 326 0.0161694
14 465 0.0181887
15 892 0.0202145
16 591 0.0222224
17 354 0.024215
18 927 0.0261253
19 743 0.0279719
20 461 0.0297209
21 217 0.0313557
22 628 0.0329017
23 488 0.0343532
24 82 0.0357037
25 725 0.0369673
26 853 0.0381327
27 564 0.03921
28 837 0.0402123
29 395 0.0411327
30 64 0.0419769
31 366 0.0427494
32 60 0.0434595
33 34 0.0441085
34 753 0.044699
35 781 0.0452407
36 739 0.0457347
37 761 0.0461828
38 723 0.0465892
39 571 0.0469573
40 809 0.0472911
41 458 0.0475933
42 168 0.0478672
43 470 0.0481151
44 612 0.0483399
45 968 0.0485429
46 350 0.0487269
47 857 0.048893
48 550 0.0490432
49 956 0.049179
50 89 0.0493027
51 195 0.0494146
52 900 0.0495162
53 644 0.0496077
54 435 0.0496903
55 873 0.0497648
56 160 0.049832
57 296 0.0498926
58 44 0.0499471
59 205 0.0499963
60 595 0.0500407
61 672 0.0500807
62 198 0.0501167
63 614 0.0501492
64 273 0.0501785
65 36 0.0502049
66 859 0.0502286
67 712 0.0502501
68 266 0.0502694
69 512 0.0502869
70 455 0.0503027
71 58 0.0503169
72 802 0.0503297
73 284 0.0503412
74 680 0.0503516
75 442 0.050361
76 372 0.0503694
77 932 0.050377
78 943 0.0503839
79 14 0.0503901
80 247 0.0503956
81 133 0.0504006
82 204 0.0504052
83 749 0.0504092
84 655 0.0504129
85 429 0.0504162
86 263 0.0504192
87 372 0.0504219
88 943 0.0504243
89 442 0.0504264
90 932 0.0504284
91 680 0.0504302
92 14 0.0504317
93 204 0.0504332
94 888 0.0504345
95 284 0.0504356
96 802 0.0504367
97 247 0.0504376
98 749 0.0504384
99 655 0.0504392
100 429 0.0504399
